Time (s)   V_cell (kV)              I_cell (kA)              
 7.39750E-09   2.30446E+00   2.30446E-06
 7.42250E-09   2.33107E+00   2.33107E-06
 7.44750E-09   2.35761E+00   2.35761E-06
 7.47250E-09   2.38408E+00   2.38408E-06
 7.49750E-09   2.41047E+00   2.41047E-06
 7.52250E-09   2.43679E+00   2.43679E-06
 7.54750E-09   2.46304E+00   2.46304E-06
 7.57250E-09   2.48922E+00   2.48922E-06
 7.59750E-09   2.51532E+00   2.51532E-06
 7.62250E-09   2.54136E+00   2.54136E-06
 7.64750E-09   2.56732E+00   2.56732E-06
 7.67250E-09   2.59321E+00   2.59321E-06
 7.69750E-09   2.61903E+00   2.61903E-06
 7.72250E-09   2.64478E+00   2.64478E-06
 7.74750E-09   2.67046E+00   2.67046E-06
 7.77250E-09   2.69607E+00   2.69607E-06
 7.79750E-09   2.72160E+00   2.72160E-06
 7.82250E-09   2.74707E+00   2.74707E-06
 7.84750E-09   2.77247E+00   2.77247E-06
 7.87250E-09   2.79780E+00   2.79780E-06
 7.89750E-09   2.82306E+00   2.82306E-06
 7.92250E-09   2.84824E+00   2.84824E-06
 7.94750E-09   2.87336E+00   2.87336E-06
 7.97250E-09   2.89842E+00   2.89842E-06
 7.99750E-09   2.92340E+00   2.92340E-06
 8.02250E-09   2.94831E+00   2.94831E-06
 8.04750E-09   2.97316E+00   2.97316E-06
 8.07250E-09   2.99793E+00   2.99793E-06
 8.09750E-09   3.02264E+00   3.02264E-06
 8.12250E-09   3.04728E+00   3.04728E-06
 8.14750E-09   3.07186E+00   3.07186E-06
 8.17250E-09   3.09636E+00   3.09636E-06
 8.19750E-09   3.12080E+00   3.12080E-06
 8.22250E-09   3.14517E+00   3.14517E-06
 8.24750E-09   3.16948E+00   3.16948E-06
 8.27250E-09   3.19372E+00   3.19372E-06
 8.29750E-09   3.21789E+00   3.21789E-06
 8.32250E-09   3.24199E+00   3.24199E-06
 8.34750E-09   3.26603E+00   3.26603E-06
 8.37250E-09   3.29001E+00   3.29001E-06
 8.39750E-09   3.31392E+00   3.31391E-06
 8.42250E-09   3.33776E+00   3.33776E-06
 8.44750E-09   3.36153E+00   3.36153E-06
 8.47250E-09   3.38524E+00   3.38524E-06
 8.49750E-09   3.40889E+00   3.40889E-06
 8.52250E-09   3.43247E+00   3.43247E-06
 8.54750E-09   3.45599E+00   3.45599E-06
 8.57250E-09   3.47944E+00   3.47944E-06
 8.59750E-09   3.50283E+00   3.50283E-06
 8.62250E-09   3.52615E+00   3.52615E-06
 8.64750E-09   3.54941E+00   3.54941E-06
 8.67250E-09   3.57261E+00   3.57261E-06
 8.69750E-09   3.59574E+00   3.59574E-06
 8.72250E-09   3.61881E+00   3.61881E-06
 8.74750E-09   3.64181E+00   3.64181E-06
 8.77250E-09   3.66475E+00   3.66475E-06
 8.79750E-09   3.68763E+00   3.68763E-06
 8.82250E-09   3.71045E+00   3.71045E-06
 8.84750E-09   3.73320E+00   3.73320E-06
 8.87250E-09   3.75589E+00   3.75589E-06
 8.89750E-09   3.77852E+00   3.77852E-06
 8.92250E-09   3.80109E+00   3.80109E-06
 8.94750E-09   3.82359E+00   3.82359E-06
 8.97250E-09   3.84603E+00   3.84603E-06
 8.99750E-09   3.86841E+00   3.86841E-06
 9.02250E-09   3.89074E+00   3.89074E-06
 9.04750E-09   3.91299E+00   3.91299E-06
 9.07250E-09   3.93519E+00   3.93519E-06
 9.09750E-09   3.95733E+00   3.95733E-06
 9.12250E-09   3.97940E+00   3.97940E-06
 9.14750E-09   4.00142E+00   4.00142E-06
 9.17250E-09   4.02337E+00   4.02337E-06
 9.19750E-09   4.04527E+00   4.04527E-06
 9.22250E-09   4.06710E+00   4.06710E-06
 9.24750E-09   4.08888E+00   4.08888E-06
 9.27250E-09   4.11059E+00   4.11059E-06
 9.29750E-09   4.13225E+00   4.13225E-06
 9.32250E-09   4.15384E+00   4.15384E-06
 9.34750E-09   4.17538E+00   4.17538E-06
 9.37250E-09   4.19686E+00   4.19686E-06
 9.39750E-09   4.21828E+00   4.21828E-06
 9.42250E-09   4.23963E+00   4.23963E-06
 9.44750E-09   4.26093E+00   4.26093E-06
 9.47250E-09   4.28218E+00   4.28218E-06
 9.49750E-09   4.30336E+00   4.30336E-06
 9.52250E-09   4.32449E+00   4.73174E-06
 9.54750E-09   4.34555E+00   5.25483E-06
 9.57250E-09   4.36656E+00   5.83556E-06
 9.59750E-09   4.38752E+00   6.48021E-06
 9.62250E-09   4.40841E+00   7.19584E-06
 9.64750E-09   4.42925E+00   7.99018E-06
 9.67250E-09   4.45003E+00   8.87193E-06
 9.69750E-09   4.47075E+00   9.85060E-06
 9.72250E-09   4.49142E+00   1.09369E-05
 9.74750E-09   4.51203E+00   1.21425E-05
 9.77250E-09   4.53258E+00   1.34806E-05
 9.79750E-09   4.55308E+00   1.49656E-05
 9.82250E-09   4.57352E+00   1.66138E-05
 9.84750E-09   4.59390E+00   1.84427E-05
 9.87250E-09   4.61422E+00   2.04724E-05
 9.89750E-09   4.63449E+00   2.27246E-05
 9.92250E-09   4.65470E+00   2.52239E-05
 9.94750E-09   4.67486E+00   2.79970E-05
 9.97250E-09   4.69496E+00   3.10742E-05
 9.99750E-09   4.71501E+00   3.44884E-05
 1.00225E-08   4.73500E+00   3.82767E-05
 1.00475E-08   4.75494E+00   4.24796E-05
 1.00725E-08   4.77482E+00   4.71427E-05
 1.00975E-08   4.79464E+00   5.23159E-05
 1.01225E-08   4.81442E+00   5.80552E-05
 1.01475E-08   4.83413E+00   6.44219E-05
 1.01725E-08   4.85379E+00   7.14849E-05
 1.01975E-08   4.87339E+00   7.93195E-05
 1.02225E-08   4.89294E+00   8.80104E-05
 1.02475E-08   4.91244E+00   9.76502E-05
 1.02725E-08   4.93188E+00   1.08343E-04
 1.02975E-08   4.95126E+00   1.20202E-04
 1.03225E-08   4.97059E+00   1.33356E-04
 1.03475E-08   4.98987E+00   1.47944E-04
 1.03725E-08   5.00909E+00   1.64123E-04
 1.03975E-08   5.02825E+00   1.82066E-04
 1.04225E-08   5.04736E+00   2.01963E-04
 1.04475E-08   5.06642E+00   2.24028E-04
 1.04725E-08   5.08542E+00   2.48494E-04
 1.04975E-08   5.10436E+00   2.75623E-04
 1.05225E-08   5.12325E+00   3.05703E-04
 1.05475E-08   5.14208E+00   3.39054E-04
 1.05725E-08   5.16086E+00   3.76027E-04
 1.05975E-08   5.17957E+00   4.17019E-04
 1.06225E-08   5.19824E+00   4.62458E-04
 1.06475E-08   5.21684E+00   5.12829E-04
 1.06725E-08   5.23538E+00   5.68660E-04
 1.06975E-08   5.25387E+00   6.30543E-04
 1.07225E-08   5.27230E+00   6.99125E-04
 1.07475E-08   5.29067E+00   7.75129E-04
 1.07725E-08   5.30897E+00   8.59347E-04
 1.07975E-08   5.32721E+00   9.52667E-04
 1.08225E-08   5.34539E+00   1.05605E-03
 1.08475E-08   5.36351E+00   1.17059E-03
 1.08725E-08   5.38156E+00   1.29746E-03
 1.08975E-08   5.39954E+00   1.43798E-03
 1.09225E-08   5.41745E+00   1.59359E-03
 1.09475E-08   5.43529E+00   1.76590E-03
 1.09725E-08   5.45306E+00   1.95666E-03
 1.09975E-08   5.47075E+00   2.16782E-03
 1.10225E-08   5.48836E+00   2.40152E-03
 1.10475E-08   5.50589E+00   2.66012E-03
 1.10725E-08   5.52333E+00   2.94621E-03
 1.10975E-08   5.54069E+00   3.26264E-03
 1.11225E-08   5.55795E+00   3.61253E-03
 1.11475E-08   5.57512E+00   3.99933E-03
 1.11725E-08   5.59218E+00   4.42678E-03
 1.11975E-08   5.60914E+00   4.89904E-03
 1.12225E-08   5.62598E+00   5.42056E-03
 1.12475E-08   5.64270E+00   5.99631E-03
 1.12725E-08   5.65929E+00   6.63160E-03
 1.12975E-08   5.67575E+00   7.33230E-03
 1.13225E-08   5.69206E+00   8.10470E-03
 1.13475E-08   5.70821E+00   8.95569E-03
 1.13725E-08   5.72420E+00   9.89263E-03
 1.13975E-08   5.74001E+00   1.09236E-02
 1.14225E-08   5.75564E+00   1.20570E-02
 1.14475E-08   5.77106E+00   1.33021E-02
 1.14725E-08   5.78626E+00   1.46687E-02
 1.14975E-08   5.80122E+00   1.61672E-02
 1.15225E-08   5.81593E+00   1.78084E-02
